ID,Ngay,NguonChi,SoTien,PhuongThuc,GhiChu
1,02/04/2026,Ăn uống,180000,Tiền mặt,Bữa ăn tuần 1
2,05/04/2026,Xăng xe,250000,Tiền mặt,Đổ xăng
3,08/04/2026,Internet,200000,Ngân hàng,Cước mạng tháng 4
4,12/04/2026,Giải trí,300000,Tiền mặt,Xem phim
5,18/04/2026,Mua sắm,450000,Ngân hàng,Mua quần áo
6,25/04/2026,Y tế,150000,Tiền mặt,Khám bệnh
7,03/05/2026,Ăn uống,220000,Tiền mặt,Bữa ăn tuần 1
8,07/05/2026,Ăn uống,350000,Ngân hàng,Liên hoan
9,10/05/2026,Xăng xe,300000,Tiền mặt,Đổ xăng
10,15/05/2026,Điện nước,320000,Ngân hàng,Hóa đơn tháng 5
11,20/05/2026,Sách vở,250000,Tiền mặt,Mua giáo trình
12,28/05/2026,Tiền trọ,2500000,Ngân hàng,Tiền nhà tháng 5
13,02/06/2026,Du lịch,1200000,Ngân hàng,Đặt khách sạn
14,05/06/2026,Du lịch,1000000,Ngân hàng,Vé xe và ăn uống
15,10/06/2026,Mua sắm,300000,Tiền mặt,Mua đồ dùng
